i,j,k,l,value
7,1,3,1,0.0
8,1,3,1,-96046.79662613876
9,1,3,1,0.0
10,1,3,1,9.26300396411197e7
1,2,3,1,0.0
2,2,3,1,0.0
3,2,3,1,0.0
4,2,3,1,-9.807873592186116e7
5,2,3,1,0.0
6,2,3,1,0.0
7,2,3,1,0.0
8,2,3,1,0.0
9,2,3,1,0.0
10,2,3,1,0.0
1,3,3,1,1.5417181916897413e8
2,3,3,1,0.0
3,3,3,1,0.0
4,3,3,1,0.0
5,3,3,1,-9.805108543107472e7
6,3,3,1,-1.9387567520556543e7
7,3,3,1,0.0
8,3,3,1,0.0
9,3,3,1,0.0
10,3,3,1,0.0
1,4,3,1,0.0
2,4,3,1,-9.807873592186116e7
3,4,3,1,0.0
4,4,3,1,0.0
5,4,3,1,0.0
6,4,3,1,0.0
7,4,3,1,8.402943714551704e7
8,4,3,1,0.0
9,4,3,1,-1.564830181042006e7
10,4,3,1,0.0
1,5,3,1,0.0
2,5,3,1,0.0
3,5,3,1,-9.805108543107472e7
4,5,3,1,0.0
5,5,3,1,0.0
6,5,3,1,0.0
7,5,3,1,0.0
8,5,3,1,8.411343408698961e7
9,5,3,1,0.0
10,5,3,1,-1.556826301892957e7
1,6,3,1,0.0
2,6,3,1,0.0
3,6,3,1,-1.9387567520556543e7
4,6,3,1,0.0
5,6,3,1,0.0
6,6,3,1,0.0
7,6,3,1,0.0
8,6,3,1,-72978.28546127806
9,6,3,1,0.0
10,6,3,1,9.9187138860708e7
1,7,3,1,0.0
2,7,3,1,0.0
3,7,3,1,0.0
4,7,3,1,8.402943714551704e7
5,7,3,1,0.0
6,7,3,1,0.0
7,7,3,1,0.0
8,7,3,1,0.0
9,7,3,1,0.0
10,7,3,1,0.0
1,8,3,1,-96046.79662613876
2,8,3,1,0.0
3,8,3,1,0.0
4,8,3,1,0.0
5,8,3,1,8.411343408698961e7
6,8,3,1,-72978.28546127806
7,8,3,1,0.0
8,8,3,1,0.0
9,8,3,1,0.0
10,8,3,1,0.0
1,9,3,1,0.0
2,9,3,1,0.0
3,9,3,1,0.0
4,9,3,1,-1.564830181042006e7
5,9,3,1,0.0
6,9,3,1,0.0
7,9,3,1,0.0
8,9,3,1,0.0
9,9,3,1,0.0
10,9,3,1,0.0
1,10,3,1,9.26300396411197e7
2,10,3,1,0.0
3,10,3,1,0.0
4,10,3,1,0.0
5,10,3,1,-1.556826301892957e7
6,10,3,1,9.9187138860708e7
7,10,3,1,0.0
8,10,3,1,0.0
9,10,3,1,0.0
10,10,3,1,0.0
1,1,4,1,0.0
2,1,4,1,0.0
3,1,4,1,0.0
4,1,4,1,1.1539218730967374e8
5,1,4,1,0.0
6,1,4,1,0.0
7,1,4,1,0.0
8,1,4,1,0.0
9,1,4,1,0.0
10,1,4,1,0.0
1,2,4,1,0.0
2,2,4,1,0.0
3,2,4,1,-9.807873592186114e7
4,2,4,1,0.0
5,2,4,1,0.0
6,2,4,1,0.0
7,2,4,1,0.0
8,2,4,1,-8.40473964306853e7
9,2,4,1,0.0
10,2,4,1,-1.5648332987770814e7
1,3,4,1,0.0
2,3,4,1,-9.807873592186114e7
3,3,4,1,0.0
4,3,4,1,0.0
5,3,4,1,0.0
6,3,4,1,0.0
7,3,4,1,8.402943714551704e7
8,3,4,1,0.0
9,3,4,1,-1.564830181042006e7
10,3,4,1,0.0
1,4,4,1,1.1539218730967374e8
2,4,4,1,0.0
3,4,4,1,0.0
4,4,4,1,0.0
5,4,4,1,42818.76327074507
6,4,4,1,-6.024705365471508e7
7,4,4,1,0.0
8,4,4,1,0.0
9,4,4,1,0.0
10,4,4,1,0.0
1,5,4,1,0.0
2,5,4,1,0.0
3,5,4,1,0.0
4,5,4,1,42818.76327074507
5,5,4,1,0.0
6,5,4,1,0.0
7,5,4,1,0.0
8,5,4,1,0.0
9,5,4,1,0.0
10,5,4,1,0.0
1,6,4,1,0.0
2,6,4,1,0.0
3,6,4,1,0.0
4,6,4,1,-6.024705365471508e7
5,6,4,1,0.0
6,6,4,1,0.0
7,6,4,1,0.0
8,6,4,1,0.0
9,6,4,1,0.0
10,6,4,1,0.0
1,7,4,1,0.0
2,7,4,1,0.0
3,7,4,1,8.402943714551704e7
4,7,4,1,0.0
5,7,4,1,0.0
6,7,4,1,0.0
7,7,4,1,0.0
8,7,4,1,-116515.9943815239
9,7,4,1,0.0
10,7,4,1,-1.3102921058946785e7
1,8,4,1,0.0
2,8,4,1,-8.40473964306853e7
3,8,4,1,0.0
4,8,4,1,0.0
5,8,4,1,0.0
6,8,4,1,0.0
7,8,4,1,-116515.9943815239
8,8,4,1,0.0
9,8,4,1,1.3114289318915455e7
10,8,4,1,0.0
1,9,4,1,0.0
2,9,4,1,0.0
3,9,4,1,-1.564830181042006e7
4,9,4,1,0.0
5,9,4,1,0.0
6,9,4,1,0.0
7,9,4,1,0.0
8,9,4,1,1.3114289318915455e7
9,9,4,1,0.0
10,9,4,1,-7.067836842104982e7
1,10,4,1,0.0
2,10,4,1,-1.5648332987770814e7
3,10,4,1,0.0
4,10,4,1,0.0
5,10,4,1,0.0
6,10,4,1,0.0
7,10,4,1,-1.3102921058946785e7
8,10,4,1,0.0
9,10,4,1,-7.067836842104982e7
10,10,4,1,0.0
1,1,5,1,-82158.80538225127
2,1,5,1,0.0
3,1,5,1,0.0
4,1,5,1,0.0
5,1,5,1,1.1545461802614853e8
6,1,5,1,-56148.305703361926
7,1,5,1,0.0
8,1,5,1,0.0
9,1,5,1,0.0
10,1,5,1,0.0
1,2,5,1,0.0
2,2,5,1,9.806412426759066e7
3,2,5,1,0.0
4,2,5,1,0.0
5,2,5,1,0.0
6,2,5,1,0.0
7,2,5,1,8.413133436513956e7
8,2,5,1,0.0
9,2,5,1,1.5394362958812786e7
10,2,5,1,0.0
1,3,5,1,0.0
2,3,5,1,0.0
3,3,5,1,-9.805108543107472e7
4,3,5,1,0.0
5,3,5,1,0.0
6,3,5,1,0.0
7,3,5,1,0.0
8,3,5,1,8.411343408698961e7
9,3,5,1,0.0
10,3,5,1,-1.5568263018929565e7
1,4,5,1,0.0
2,4,5,1,0.0
3,4,5,1,0.0
4,4,5,1,42818.76327074507
5,4,5,1,0.0
6,4,5,1,0.0
7,4,5,1,0.0
8,4,5,1,0.0
9,4,5,1,0.0
10,4,5,1,0.0
1,5,5,1,1.1545461802614853e8
2,5,5,1,0.0
3,5,5,1,0.0
4,5,5,1,0.0
5,5,5,1,128758.860549284
6,5,5,1,-6.014456187353104e7
7,5,5,1,0.0
8,5,5,1,0.0
9,5,5,1,0.0
10,5,5,1,0.0
1,6,5,1,-56148.305703361926
2,6,5,1,0.0
3,6,5,1,0.0
4,6,5,1,0.0
5,6,5,1,-6.014456187353104e7
6,6,5,1,-194535.7113688108
7,6,5,1,0.0
8,6,5,1,0.0
9,6,5,1,0.0
10,6,5,1,0.0
1,7,5,1,0.0
2,7,5,1,8.413133436513956e7
3,7,5,1,0.0
4,7,5,1,0.0
5,7,5,1,0.0
6,7,5,1,0.0
7,7,5,1,-42421.910907971534
8,7,5,1,0.0
9,7,5,1,-1.2863681784417504e7
10,7,5,1,0.0
1,8,5,1,0.0
2,8,5,1,0.0
3,8,5,1,8.411343408698961e7
4,8,5,1,0.0
5,8,5,1,0.0
6,8,5,1,0.0
7,8,5,1,0.0
8,8,5,1,155516.59544351988
9,8,5,1,0.0
10,8,5,1,-1.285198842081282e7
1,9,5,1,0.0
2,9,5,1,1.5394362958812786e7
3,9,5,1,0.0
4,9,5,1,0.0
5,9,5,1,0.0
6,9,5,1,0.0
7,9,5,1,-1.2863681784417504e7
8,9,5,1,0.0
9,9,5,1,7.063525337822002e7
10,9,5,1,0.0
1,10,5,1,0.0
2,10,5,1,0.0
3,10,5,1,-1.5568263018929565e7
4,10,5,1,0.0
5,10,5,1,0.0
6,10,5,1,0.0
7,10,5,1,0.0
8,10,5,1,-1.285198842081282e7
9,10,5,1,0.0
10,10,5,1,-7.077992720146228e7
1,1,6,1,1.0793147817487487e8
2,1,6,1,0.0
3,1,6,1,0.0
4,1,6,1,0.0
5,1,6,1,-56148.305703362574
6,1,6,1,1.9325420595926973e8
7,1,6,1,0.0
8,1,6,1,0.0
9,1,6,1,0.0
10,1,6,1,0.0
1,2,6,1,0.0
2,2,6,1,-1.92273200830076e7
3,2,6,1,0.0
4,2,6,1,0.0
5,2,6,1,0.0
6,2,6,1,0.0
7,2,6,1,202705.9429545578
8,2,6,1,0.0
9,2,6,1,9.923238345803335e7
10,2,6,1,0.0
1,3,6,1,0.0
2,3,6,1,0.0
3,3,6,1,-1.9387567520556543e7
4,3,6,1,0.0
5,3,6,1,0.0
6,3,6,1,0.0
7,3,6,1,0.0
8,3,6,1,-72978.28546128035
9,3,6,1,0.0
10,3,6,1,9.9187138860708e7
1,4,6,1,0.0
2,4,6,1,0.0
3,4,6,1,0.0
4,4,6,1,-6.024705365471508e7
5,4,6,1,0.0
6,4,6,1,0.0
7,4,6,1,0.0
8,4,6,1,0.0
9,4,6,1,0.0
10,4,6,1,0.0
1,5,6,1,-56148.305703362574
2,5,6,1,0.0
3,5,6,1,0.0
4,5,6,1,0.0
5,5,6,1,-6.0144561873531036e7
6,5,6,1,-194535.71136880654
7,5,6,1,0.0
8,5,6,1,0.0
9,5,6,1,0.0
10,5,6,1,0.0
1,6,6,1,1.9325420595926973e8
2,6,6,1,0.0
3,6,6,1,0.0
4,6,6,1,0.0
5,6,6,1,-194535.71136880654
6,6,6,1,1.4035794737011445e8
7,6,6,1,0.0
8,6,6,1,0.0
9,6,6,1,0.0
10,6,6,1,0.0
1,7,6,1,0.0
2,7,6,1,202705.9429545578
3,7,6,1,0.0
4,7,6,1,0.0
5,7,6,1,0.0
6,7,6,1,0.0
7,7,6,1,-7.315289465269895e7
8,7,6,1,0.0
9,7,6,1,149904.226286015
10,7,6,1,0.0
1,8,6,1,0.0
2,8,6,1,0.0
3,8,6,1,-72978.28546128035
4,8,6,1,0.0
5,8,6,1,0.0
6,8,6,1,0.0
7,8,6,1,0.0
8,8,6,1,-7.315272525381482e7
9,8,6,1,0.0
10,8,6,1,-152500.09323865504
1,9,6,1,0.0
2,9,6,1,9.923238345803335e7
3,9,6,1,0.0
4,9,6,1,0.0
5,9,6,1,0.0
6,9,6,1,0.0
7,9,6,1,149904.226286015
8,9,6,1,0.0
9,9,6,1,9.065740109202062e7
10,9,6,1,0.0
1,10,6,1,0.0
2,10,6,1,0.0
3,10,6,1,9.9187138860708e7
4,10,6,1,0.0
5,10,6,1,0.0
6,10,6,1,0.0
7,10,6,1,0.0
8,10,6,1,-152500.09323865504
9,10,6,1,0.0
10,10,6,1,9.054169924516273e7
1,1,7,1,0.0
2,1,7,1,113302.23782463725
3,1,7,1,0.0
4,1,7,1,0.0
5,1,7,1,0.0
6,1,7,1,0.0
7,1,7,1,9.122942948592094e7
8,1,7,1,0.0
9,1,7,1,74951.42401090638
10,1,7,1,0.0
1,2,7,1,113302.23782463725
2,2,7,1,0.0
3,2,7,1,0.0
4,2,7,1,0.0
5,2,7,1,8.413133436513954e7
6,2,7,1,202705.94295455786
7,2,7,1,0.0
8,2,7,1,0.0
9,2,7,1,0.0
10,2,7,1,0.0
1,3,7,1,0.0
2,3,7,1,0.0
3,3,7,1,0.0
4,3,7,1,8.402943714551704e7
5,3,7,1,0.0
6,3,7,1,0.0
7,3,7,1,0.0
8,3,7,1,0.0
9,3,7,1,0.0
10,3,7,1,0.0
1,4,7,1,0.0
2,4,7,1,0.0
3,4,7,1,8.402943714551704e7
4,4,7,1,0.0
5,4,7,1,0.0
6,4,7,1,0.0
7,4,7,1,0.0
8,4,7,1,-116515.99438152276
9,4,7,1,0.0
10,4,7,1,-1.3102921058946785e7
1,5,7,1,0.0
2,5,7,1,8.413133436513954e7
3,5,7,1,0.0
4,5,7,1,0.0
5,5,7,1,0.0
6,5,7,1,0.0
7,5,7,1,-42421.91090797788
8,5,7,1,0.0
9,5,7,1,-1.2863681784417499e7
10,5,7,1,0.0
1,6,7,1,0.0
2,6,7,1,202705.94295455786
3,6,7,1,0.0
4,6,7,1,0.0
5,6,7,1,0.0
6,6,7,1,0.0
7,6,7,1,-7.315289465269895e7
8,6,7,1,0.0
9,6,7,1,149904.22628601268
10,6,7,1,0.0
1,7,7,1,9.122942948592094e7
2,7,7,1,0.0
3,7,7,1,0.0
4,7,7,1,0.0
5,7,7,1,-42421.91090797788
6,7,7,1,-7.315289465269895e7
7,7,7,1,0.0
8,7,7,1,0.0
9,7,7,1,0.0
10,7,7,1,0.0
1,8,7,1,0.0
2,8,7,1,0.0
3,8,7,1,0.0
4,8,7,1,-116515.99438152276
5,8,7,1,0.0
6,8,7,1,0.0
7,8,7,1,0.0
8,8,7,1,0.0
9,8,7,1,0.0
10,8,7,1,0.0
1,9,7,1,74951.42401090638
2,9,7,1,0.0
3,9,7,1,0.0
4,9,7,1,0.0
5,9,7,1,-1.2863681784417499e7
6,9,7,1,149904.22628601268
7,9,7,1,0.0
8,9,7,1,0.0
9,9,7,1,0.0
10,9,7,1,0.0
1,10,7,1,0.0
2,10,7,1,0.0
3,10,7,1,0.0
4,10,7,1,-1.3102921058946785e7
5,10,7,1,0.0
6,10,7,1,0.0
7,10,7,1,0.0
8,10,7,1,0.0
9,10,7,1,0.0
10,10,7,1,0.0
1,1,8,1,0.0
2,1,8,1,0.0
3,1,8,1,-96046.79662613929
4,1,8,1,0.0
5,1,8,1,0.0
6,1,8,1,0.0
7,1,8,1,0.0
8,1,8,1,9.1229427600235e7
9,1,8,1,0.0
10,1,8,1,-82415.89198734058
1,2,8,1,0.0
2,2,8,1,0.0
3,2,8,1,0.0
4,2,8,1,-8.404739643068528e7
5,2,8,1,0.0
6,2,8,1,0.0
7,2,8,1,0.0
8,2,8,1,0.0
9,2,8,1,0.0
10,2,8,1,0.0
1,3,8,1,-96046.79662613929
2,3,8,1,0.0
3,3,8,1,0.0
4,3,8,1,0.0
5,3,8,1,8.411343408698961e7
6,3,8,1,-72978.28546127892
7,3,8,1,0.0
8,3,8,1,0.0
9,3,8,1,0.0
10,3,8,1,0.0
1,4,8,1,0.0
2,4,8,1,-8.404739643068528e7
3,4,8,1,0.0
4,4,8,1,0.0
5,4,8,1,0.0
6,4,8,1,0.0
7,4,8,1,-116515.99438152391
8,4,8,1,0.0
9,4,8,1,1.3114289318915453e7
10,4,8,1,0.0
1,5,8,1,0.0
2,5,8,1,0.0
3,5,8,1,8.411343408698961e7
4,5,8,1,0.0
5,5,8,1,0.0
6,5,8,1,0.0
7,5,8,1,0.0
8,5,8,1,155516.595443523
9,5,8,1,0.0
10,5,8,1,-1.285198842081282e7
1,6,8,1,0.0
2,6,8,1,0.0
3,6,8,1,-72978.28546127892
4,6,8,1,0.0
5,6,8,1,0.0
6,6,8,1,0.0
7,6,8,1,0.0
8,6,8,1,-7.315272525381482e7
9,6,8,1,0.0
10,6,8,1,-152500.0932386559
1,7,8,1,0.0
2,7,8,1,0.0
3,7,8,1,0.0
4,7,8,1,-116515.99438152391
5,7,8,1,0.0
6,7,8,1,0.0
7,7,8,1,0.0
8,7,8,1,0.0
9,7,8,1,0.0
10,7,8,1,0.0
1,8,8,1,9.1229427600235e7
2,8,8,1,0.0
3,8,8,1,0.0
4,8,8,1,0.0
5,8,8,1,155516.595443523
6,8,8,1,-7.315272525381482e7
7,8,8,1,0.0
8,8,8,1,0.0
9,8,8,1,0.0
10,8,8,1,0.0
1,9,8,1,0.0
2,9,8,1,0.0
3,9,8,1,0.0
4,9,8,1,1.3114289318915453e7
5,9,8,1,0.0
6,9,8,1,0.0
7,9,8,1,0.0
8,9,8,1,0.0
9,9,8,1,0.0
10,9,8,1,0.0
1,10,8,1,-82415.89198734058
2,10,8,1,0.0
3,10,8,1,0.0
4,10,8,1,0.0
5,10,8,1,-1.285198842081282e7
6,10,8,1,-152500.0932386559
7,10,8,1,0.0
8,10,8,1,0.0
9,10,8,1,0.0
10,10,8,1,0.0
1,1,9,1,0.0
2,1,9,1,9.262753146779352e7
3,1,9,1,0.0
4,1,9,1,0.0
5,1,9,1,0.0
6,1,9,1,0.0
7,1,9,1,74951.42401090737
8,1,9,1,0.0
9,1,9,1,1.800040594988621e8
10,1,9,1,0.0
1,2,9,1,9.262753146779352e7
2,2,9,1,0.0
3,2,9,1,0.0
4,2,9,1,0.0
5,2,9,1,1.5394362958812784e7
6,2,9,1,9.923238345803335e7
7,2,9,1,0.0
8,2,9,1,0.0
9,2,9,1,0.0
10,2,9,1,0.0
1,3,9,1,0.0
2,3,9,1,0.0
3,3,9,1,0.0
4,3,9,1,-1.5648301810420059e7
5,3,9,1,0.0
6,3,9,1,0.0
7,3,9,1,0.0
8,3,9,1,0.0
9,3,9,1,0.0
10,3,9,1,0.0
1,4,9,1,0.0
2,4,9,1,0.0
3,4,9,1,-1.5648301810420059e7
4,4,9,1,0.0
5,4,9,1,0.0
6,4,9,1,0.0
7,4,9,1,0.0
8,4,9,1,1.3114289318915455e7
9,4,9,1,0.0
10,4,9,1,-7.067836842104982e7
1,5,9,1,0.0
2,5,9,1,1.5394362958812784e7
3,5,9,1,0.0
4,5,9,1,0.0
5,5,9,1,0.0
6,5,9,1,0.0
7,5,9,1,-1.2863681784417499e7
8,5,9,1,0.0
9,5,9,1,7.063525337822002e7
10,5,9,1,0.0
1,6,9,1,0.0
2,6,9,1,9.923238345803335e7
3,6,9,1,0.0
4,6,9,1,0.0
5,6,9,1,0.0
6,6,9,1,0.0
7,6,9,1,149904.22628601504
8,6,9,1,0.0
9,6,9,1,9.065740109202062e7
10,6,9,1,0.0
1,7,9,1,74951.42401090737
2,7,9,1,0.0
3,7,9,1,0.0
4,7,9,1,0.0
5,7,9,1,-1.2863681784417499e7
6,7,9,1,149904.22628601504
7,7,9,1,0.0
8,7,9,1,0.0
9,7,9,1,0.0
10,7,9,1,0.0
1,8,9,1,0.0
2,8,9,1,0.0
3,8,9,1,0.0
4,8,9,1,1.3114289318915455e7
5,8,9,1,0.0
6,8,9,1,0.0
7,8,9,1,0.0
8,8,9,1,0.0
9,8,9,1,0.0
10,8,9,1,0.0
1,9,9,1,1.800040594988621e8
2,9,9,1,0.0
3,9,9,1,0.0
4,9,9,1,0.0
5,9,9,1,7.063525337822002e7
6,9,9,1,9.065740109202062e7
7,9,9,1,0.0
8,9,9,1,0.0
9,9,9,1,0.0
10,9,9,1,0.0
1,10,9,1,0.0
2,10,9,1,0.0
3,10,9,1,0.0
4,10,9,1,-7.067836842104982e7
5,10,9,1,0.0
6,10,9,1,0.0
7,10,9,1,0.0
8,10,9,1,0.0
9,10,9,1,0.0
10,10,9,1,0.0
1,1,10,1,0.0
2,1,10,1,0.0
3,1,10,1,9.26300396411197e7
4,1,10,1,0.0
5,1,10,1,0.0
6,1,10,1,0.0
7,1,10,1,0.0
8,1,10,1,-82415.89198734229
9,1,10,1,0.0
10,1,10,1,1.799907042719324e8
1,2,10,1,0.0
2,2,10,1,0.0
3,2,10,1,0.0
4,2,10,1,-1.5648332987770814e7
5,2,10,1,0.0
6,2,10,1,0.0
7,2,10,1,0.0
8,2,10,1,0.0
9,2,10,1,0.0
10,2,10,1,0.0
1,3,10,1,9.26300396411197e7
2,3,10,1,0.0
3,3,10,1,0.0
4,3,10,1,0.0
5,3,10,1,-1.5568263018929573e7
6,3,10,1,9.918713886070803e7
7,3,10,1,0.0
8,3,10,1,0.0
9,3,10,1,0.0
10,3,10,1,0.0
1,4,10,1,0.0
2,4,10,1,-1.5648332987770814e7
3,4,10,1,0.0
4,4,10,1,0.0
5,4,10,1,0.0
6,4,10,1,0.0
7,4,10,1,-1.3102921058946788e7
8,4,10,1,0.0
9,4,10,1,-7.067836842104982e7
10,4,10,1,0.0
1,5,10,1,0.0
2,5,10,1,0.0
3,5,10,1,-1.5568263018929573e7
4,5,10,1,0.0
5,5,10,1,0.0
6,5,10,1,0.0
7,5,10,1,0.0
8,5,10,1,-1.285198842081282e7
9,5,10,1,0.0
10,5,10,1,-7.077992720146228e7
1,6,10,1,0.0
2,6,10,1,0.0
3,6,10,1,9.918713886070803e7
4,6,10,1,0.0
5,6,10,1,0.0
6,6,10,1,0.0
7,6,10,1,0.0
8,6,10,1,-152500.0932386562
9,6,10,1,0.0
10,6,10,1,9.054169924516276e7
1,7,10,1,0.0
2,7,10,1,0.0
3,7,10,1,0.0
4,7,10,1,-1.3102921058946788e7
5,7,10,1,0.0
6,7,10,1,0.0
7,7,10,1,0.0
8,7,10,1,0.0
9,7,10,1,0.0
10,7,10,1,0.0
1,8,10,1,-82415.89198734229
2,8,10,1,0.0
3,8,10,1,0.0
4,8,10,1,0.0
5,8,10,1,-1.285198842081282e7
6,8,10,1,-152500.0932386562
7,8,10,1,0.0
8,8,10,1,0.0
9,8,10,1,0.0
10,8,10,1,0.0
1,9,10,1,0.0
2,9,10,1,0.0
3,9,10,1,0.0
4,9,10,1,-7.067836842104982e7
5,9,10,1,0.0
6,9,10,1,0.0
7,9,10,1,0.0
8,9,10,1,0.0
9,9,10,1,0.0
10,9,10,1,0.0
1,10,10,1,1.799907042719324e8
2,10,10,1,0.0
3,10,10,1,0.0
4,10,10,1,0.0
5,10,10,1,-7.077992720146228e7
6,10,10,1,9.054169924516276e7
7,10,10,1,0.0
8,10,10,1,0.0
9,10,10,1,0.0
10,10,10,1,0.0
1,1,1,2,0.0
2,1,1,2,1.5418952511960438e8
3,1,1,2,0.0
4,1,1,2,0.0
5,1,1,2,0.0
6,1,1,2,0.0
7,1,1,2,113302.23782463917
8,1,1,2,0.0
9,1,1,2,9.262753146779354e7
10,1,1,2,0.0
1,2,1,2,1.5418952511960438e8
2,2,1,2,0.0
3,2,1,2,0.0
4,2,1,2,0.0
5,2,1,2,9.806412426759066e7
6,2,1,2,-1.92273200830076e7
7,2,1,2,0.0
8,2,1,2,0.0
9,2,1,2,0.0
10,2,1,2,0.0
1,3,1,2,0.0
2,3,1,2,0.0
3,3,1,2,0.0
4,3,1,2,-9.807873592186114e7
5,3,1,2,0.0
6,3,1,2,0.0
7,3,1,2,0.0
8,3,1,2,0.0
9,3,1,2,0.0
10,3,1,2,0.0
1,4,1,2,0.0
2,4,1,2,0.0
