i,j,k,l,value
3,4,1,2,-9.807873592186114e7
4,4,1,2,0.0
5,4,1,2,0.0
6,4,1,2,0.0
7,4,1,2,0.0
8,4,1,2,-8.404739643068527e7
9,4,1,2,0.0
10,4,1,2,-1.5648332987770814e7
1,5,1,2,0.0
2,5,1,2,9.806412426759066e7
3,5,1,2,0.0
4,5,1,2,0.0
5,5,1,2,0.0
6,5,1,2,0.0
7,5,1,2,8.413133436513954e7
8,5,1,2,0.0
9,5,1,2,1.5394362958812783e7
10,5,1,2,0.0
1,6,1,2,0.0
2,6,1,2,-1.92273200830076e7
3,6,1,2,0.0
4,6,1,2,0.0
5,6,1,2,0.0
6,6,1,2,0.0
7,6,1,2,202705.9429545554
8,6,1,2,0.0
9,6,1,2,9.923238345803335e7
10,6,1,2,0.0
1,7,1,2,113302.23782463917
2,7,1,2,0.0
3,7,1,2,0.0
4,7,1,2,0.0
5,7,1,2,8.413133436513954e7
6,7,1,2,202705.9429545554
7,7,1,2,0.0
8,7,1,2,0.0
9,7,1,2,0.0
10,7,1,2,0.0
1,8,1,2,0.0
2,8,1,2,0.0
3,8,1,2,0.0
4,8,1,2,-8.404739643068527e7
5,8,1,2,0.0
6,8,1,2,0.0
7,8,1,2,0.0
8,8,1,2,0.0
9,8,1,2,0.0
10,8,1,2,0.0
1,9,1,2,9.262753146779354e7
2,9,1,2,0.0
3,9,1,2,0.0
4,9,1,2,0.0
5,9,1,2,1.5394362958812783e7
6,9,1,2,9.923238345803335e7
7,9,1,2,0.0
8,9,1,2,0.0
9,9,1,2,0.0
10,9,1,2,0.0
1,10,1,2,0.0
2,10,1,2,0.0
3,10,1,2,0.0
4,10,1,2,-1.5648332987770814e7
5,10,1,2,0.0
6,10,1,2,0.0
7,10,1,2,0.0
8,10,1,2,0.0
9,10,1,2,0.0
10,10,1,2,0.0
1,1,2,2,1.541895251196044e8
2,1,2,2,0.0
3,1,2,2,0.0
4,1,2,2,0.0
5,1,2,2,9.806412426759069e7
6,1,2,2,-1.9227320083007604e7
7,1,2,2,0.0
8,1,2,2,0.0
9,1,2,2,0.0
10,1,2,2,0.0
1,2,2,2,0.0
2,2,2,2,2.4992972415284795e8
3,2,2,2,0.0
4,2,2,2,0.0
5,2,2,2,0.0
6,2,2,2,0.0
7,2,2,2,7.138465583560376e7
8,2,2,2,0.0
9,2,2,2,4.025440502409344e7
10,2,2,2,0.0
1,3,2,2,0.0
2,3,2,2,0.0
3,3,2,2,8.336387597232503e7
4,3,2,2,0.0
5,3,2,2,0.0
6,3,2,2,0.0
7,3,2,2,0.0
8,3,2,2,7.134321080340996e7
9,3,2,2,0.0
10,3,2,2,1.3524491551549554e7
1,4,2,2,0.0
2,4,2,2,0.0
3,4,2,2,0.0
4,4,2,2,1.549910555215591e8
5,4,2,2,0.0
6,4,2,2,0.0
7,4,2,2,0.0
8,4,2,2,0.0
9,4,2,2,0.0
10,4,2,2,0.0
1,5,2,2,9.806412426759069e7
2,5,2,2,0.0
3,5,2,2,0.0
4,5,2,2,0.0
5,5,2,2,1.5505750444780234e8
6,5,2,2,-5.08005962101322e7
7,5,2,2,0.0
8,5,2,2,0.0
9,5,2,2,0.0
10,5,2,2,0.0
1,6,2,2,-1.9227320083007604e7
2,6,2,2,0.0
3,6,2,2,0.0
4,6,2,2,0.0
5,6,2,2,-5.08005962101322e7
6,6,2,2,1.0108706130943115e8
7,6,2,2,0.0
8,6,2,2,0.0
9,6,2,2,0.0
10,6,2,2,0.0
1,7,2,2,0.0
2,7,2,2,7.138465583560376e7
3,7,2,2,0.0
4,7,2,2,0.0
5,7,2,2,0.0
6,7,2,2,0.0
7,7,2,2,1.393954386164452e8
8,7,2,2,0.0
9,7,2,2,-1.0770502759656992e7
10,7,2,2,0.0
1,8,2,2,0.0
2,8,2,2,0.0
3,8,2,2,7.134321080340996e7
4,8,2,2,0.0
5,8,2,2,0.0
6,8,2,2,0.0
7,8,2,2,0.0
8,8,2,2,1.395534074742305e8
9,8,2,2,0.0
10,8,2,2,-1.071934302698165e7
1,9,2,2,0.0
2,9,2,2,4.025440502409344e7
3,9,2,2,0.0
4,9,2,2,0.0
5,9,2,2,0.0
6,9,2,2,0.0
7,9,2,2,-1.0770502759656992e7
8,9,2,2,0.0
9,9,2,2,1.8037293592320016e8
10,9,2,2,0.0
1,10,2,2,0.0
2,10,2,2,0.0
3,10,2,2,1.3524491551549554e7
4,10,2,2,0.0
5,10,2,2,0.0
6,10,2,2,0.0
7,10,2,2,0.0
8,10,2,2,-1.071934302698165e7
9,10,2,2,0.0
10,10,2,2,6.013841226951206e7
1,1,3,2,0.0
2,1,3,2,0.0
3,1,3,2,0.0
4,1,3,2,-9.807873592186114e7
5,1,3,2,0.0
6,1,3,2,0.0
7,1,3,2,0.0
8,1,3,2,0.0
9,1,3,2,0.0
10,1,3,2,0.0
1,2,3,2,0.0
2,2,3,2,0.0
3,2,3,2,8.3363875972325e7
4,2,3,2,0.0
5,2,3,2,0.0
6,2,3,2,0.0
7,2,3,2,0.0
8,2,3,2,7.134321080340998e7
9,2,3,2,0.0
10,2,3,2,1.3524491551549554e7
1,3,3,2,0.0
2,3,3,2,8.3363875972325e7
3,3,3,2,0.0
4,3,3,2,0.0
5,3,3,2,0.0
6,3,3,2,0.0
7,3,3,2,-7.134321080340989e7
8,3,3,2,0.0
9,3,3,2,1.3524491551549578e7
10,3,3,2,0.0
1,4,3,2,-9.807873592186114e7
2,4,3,2,0.0
3,4,3,2,0.0
4,4,3,2,0.0
5,4,3,2,-27929.79626657647
6,4,3,2,5.0972386577747874e7
7,4,3,2,0.0
8,4,3,2,0.0
9,4,3,2,0.0
10,4,3,2,0.0
1,5,3,2,0.0
2,5,3,2,0.0
3,5,3,2,0.0
4,5,3,2,-27929.79626657647
5,5,3,2,0.0
6,5,3,2,0.0
7,5,3,2,0.0
8,5,3,2,0.0
9,5,3,2,0.0
10,5,3,2,0.0
1,6,3,2,0.0
2,6,3,2,0.0
3,6,3,2,0.0
4,6,3,2,5.0972386577747874e7
5,6,3,2,0.0
6,6,3,2,0.0
7,6,3,2,0.0
8,6,3,2,0.0
9,6,3,2,0.0
10,6,3,2,0.0
1,7,3,2,0.0
2,7,3,2,0.0
3,7,3,2,-7.134321080340989e7
4,7,3,2,0.0
5,7,3,2,0.0
6,7,3,2,0.0
7,7,3,2,0.0
8,7,3,2,95034.33566521529
9,7,3,2,0.0
10,7,3,2,1.0958879115455518e7
1,8,3,2,0.0
2,8,3,2,7.134321080340998e7
3,8,3,2,0.0
4,8,3,2,0.0
5,8,3,2,0.0
6,8,3,2,0.0
7,8,3,2,95034.33566521529
8,8,3,2,0.0
9,8,3,2,-1.0958879115455573e7
10,8,3,2,0.0
1,9,3,2,0.0
2,9,3,2,0.0
3,9,3,2,1.3524491551549578e7
4,9,3,2,0.0
5,9,3,2,0.0
6,9,3,2,0.0
7,9,3,2,0.0
8,9,3,2,-1.0958879115455573e7
9,9,3,2,0.0
10,9,3,2,6.013799871672203e7
1,10,3,2,0.0
2,10,3,2,1.3524491551549554e7
3,10,3,2,0.0
4,10,3,2,0.0
5,10,3,2,0.0
6,10,3,2,0.0
7,10,3,2,1.0958879115455518e7
8,10,3,2,0.0
9,10,3,2,6.013799871672203e7
10,10,3,2,0.0
1,1,4,2,0.0
2,1,4,2,0.0
3,1,4,2,-9.807873592186114e7
4,1,4,2,0.0
5,1,4,2,0.0
6,1,4,2,0.0
7,1,4,2,0.0
8,1,4,2,-8.404739643068528e7
9,1,4,2,0.0
10,1,4,2,-1.5648332987770814e7
1,2,4,2,0.0
2,2,4,2,0.0
3,2,4,2,0.0
4,2,4,2,1.5499105552155906e8
5,2,4,2,0.0
6,2,4,2,0.0
7,2,4,2,0.0
8,2,4,2,0.0
9,2,4,2,0.0
10,2,4,2,0.0
1,3,4,2,-9.807873592186114e7
2,3,4,2,0.0
3,3,4,2,0.0
4,3,4,2,0.0
5,3,4,2,-27929.796266576486
6,3,4,2,5.097238657774787e7
7,3,4,2,0.0
8,3,4,2,0.0
9,3,4,2,0.0
10,3,4,2,0.0
1,4,4,2,0.0
2,4,4,2,1.5499105552155906e8
3,4,4,2,0.0
4,4,4,2,0.0
5,4,4,2,0.0
6,4,4,2,0.0
7,4,4,2,-7.560876732977888e7
8,4,4,2,0.0
9,4,4,2,-2.3318521774852045e7
10,4,4,2,0.0
1,5,4,2,0.0
2,5,4,2,0.0
3,5,4,2,-27929.796266576486
4,5,4,2,0.0
5,5,4,2,0.0
6,5,4,2,0.0
7,5,4,2,0.0
8,5,4,2,-7.581021193769996e7
9,5,4,2,0.0
10,5,4,2,-86380.60166212328
1,6,4,2,0.0
2,6,4,2,0.0
3,6,4,2,5.097238657774787e7
4,6,4,2,0.0
5,6,4,2,0.0
6,6,4,2,0.0
7,6,4,2,0.0
8,6,4,2,6.71532974241848e7
9,6,4,2,0.0
10,6,4,2,-5.269966508529388e7
1,7,4,2,0.0
2,7,4,2,0.0
3,7,4,2,0.0
4,7,4,2,-7.560876732977888e7
5,7,4,2,0.0
6,7,4,2,0.0
7,7,4,2,0.0
8,7,4,2,0.0
9,7,4,2,0.0
10,7,4,2,0.0
1,8,4,2,-8.404739643068528e7
2,8,4,2,0.0
3,8,4,2,0.0
4,8,4,2,0.0
5,8,4,2,-7.581021193769996e7
6,8,4,2,6.71532974241848e7
7,8,4,2,0.0
8,8,4,2,0.0
9,8,4,2,0.0
10,8,4,2,0.0
1,9,4,2,0.0
2,9,4,2,0.0
3,9,4,2,0.0
4,9,4,2,-2.3318521774852045e7
5,9,4,2,0.0
6,9,4,2,0.0
7,9,4,2,0.0
8,9,4,2,0.0
9,9,4,2,0.0
10,9,4,2,0.0
1,10,4,2,-1.5648332987770814e7
2,10,4,2,0.0
3,10,4,2,0.0
4,10,4,2,0.0
5,10,4,2,-86380.60166212328
6,10,4,2,-5.269966508529388e7
7,10,4,2,0.0
8,10,4,2,0.0
9,10,4,2,0.0
10,10,4,2,0.0
1,1,5,2,0.0
2,1,5,2,9.806412426759069e7
3,1,5,2,0.0
4,1,5,2,0.0
5,1,5,2,0.0
6,1,5,2,0.0
7,1,5,2,8.413133436513953e7
8,1,5,2,0.0
9,1,5,2,1.5394362958812784e7
10,1,5,2,0.0
1,2,5,2,9.806412426759069e7
2,2,5,2,0.0
3,2,5,2,0.0
4,2,5,2,0.0
5,2,5,2,1.550575044478023e8
6,2,5,2,-5.0800596210132174e7
7,2,5,2,0.0
8,2,5,2,0.0
9,2,5,2,0.0
10,2,5,2,0.0
1,3,5,2,0.0
2,3,5,2,0.0
3,3,5,2,0.0
4,3,5,2,-27929.79626657421
5,3,5,2,0.0
6,3,5,2,0.0
7,3,5,2,0.0
8,3,5,2,0.0
9,3,5,2,0.0
10,3,5,2,0.0
1,4,5,2,0.0
2,4,5,2,0.0
3,4,5,2,-27929.79626657421
4,4,5,2,0.0
5,4,5,2,0.0
6,4,5,2,0.0
7,4,5,2,0.0
8,4,5,2,-7.581021193769996e7
9,4,5,2,0.0
10,4,5,2,-86380.60166212302
1,5,5,2,0.0
2,5,5,2,1.550575044478023e8
3,5,5,2,0.0
4,5,5,2,0.0
5,5,5,2,0.0
6,5,5,2,0.0
7,5,5,2,7.570018121473472e7
8,5,5,2,0.0
9,5,5,2,-2.3425780785133358e7
10,5,5,2,0.0
1,6,5,2,0.0
2,6,5,2,-5.0800596210132174e7
3,6,5,2,0.0
4,6,5,2,0.0
5,6,5,2,0.0
6,6,5,2,0.0
7,6,5,2,-6.69883225907948e7
8,6,5,2,0.0
9,6,5,2,5.2767092690735355e7
10,6,5,2,0.0
1,7,5,2,8.413133436513953e7
2,7,5,2,0.0
3,7,5,2,0.0
4,7,5,2,0.0
5,7,5,2,7.570018121473472e7
6,7,5,2,-6.69883225907948e7
7,7,5,2,0.0
8,7,5,2,0.0
9,7,5,2,0.0
10,7,5,2,0.0
1,8,5,2,0.0
2,8,5,2,0.0
3,8,5,2,0.0
4,8,5,2,-7.581021193769996e7
5,8,5,2,0.0
6,8,5,2,0.0
7,8,5,2,0.0
8,8,5,2,0.0
9,8,5,2,0.0
10,8,5,2,0.0
1,9,5,2,1.5394362958812784e7
2,9,5,2,0.0
3,9,5,2,0.0
4,9,5,2,0.0
5,9,5,2,-2.3425780785133358e7
6,9,5,2,5.2767092690735355e7
7,9,5,2,0.0
8,9,5,2,0.0
9,9,5,2,0.0
10,9,5,2,0.0
1,10,5,2,0.0
2,10,5,2,0.0
3,10,5,2,0.0
4,10,5,2,-86380.60166212302
5,10,5,2,0.0
6,10,5,2,0.0
7,10,5,2,0.0
8,10,5,2,0.0
9,10,5,2,0.0
10,10,5,2,0.0
1,1,6,2,0.0
2,1,6,2,-1.92273200830076e7
3,1,6,2,0.0
4,1,6,2,0.0
5,1,6,2,0.0
6,1,6,2,0.0
7,1,6,2,202705.94295455597
8,1,6,2,0.0
9,1,6,2,9.923238345803335e7
10,1,6,2,0.0
1,2,6,2,-1.92273200830076e7
2,2,6,2,0.0
3,2,6,2,0.0
4,2,6,2,0.0
5,2,6,2,-5.080059621013218e7
6,2,6,2,1.0108706130943115e8
7,2,6,2,0.0
8,2,6,2,0.0
9,2,6,2,0.0
10,2,6,2,0.0
1,3,6,2,0.0
2,3,6,2,0.0
3,3,6,2,0.0
4,3,6,2,5.097238657774787e7
5,3,6,2,0.0
6,3,6,2,0.0
7,3,6,2,0.0
8,3,6,2,0.0
9,3,6,2,0.0
10,3,6,2,0.0
1,4,6,2,0.0
2,4,6,2,0.0
3,4,6,2,5.097238657774787e7
4,4,6,2,0.0
5,4,6,2,0.0
6,4,6,2,0.0
7,4,6,2,0.0
8,4,6,2,6.71532974241848e7
9,4,6,2,0.0
10,4,6,2,-5.269966508529389e7
1,5,6,2,0.0
2,5,6,2,-5.080059621013218e7
3,5,6,2,0.0
4,5,6,2,0.0
5,5,6,2,0.0
6,5,6,2,0.0
7,5,6,2,-6.698832259079482e7
8,5,6,2,0.0
9,5,6,2,5.2767092690735355e7
10,5,6,2,0.0
1,6,6,2,0.0
2,6,6,2,1.0108706130943115e8
3,6,6,2,0.0
4,6,6,2,0.0
5,6,6,2,0.0
6,6,6,2,0.0
7,6,6,2,-170155.7741290691
8,6,6,2,0.0
9,6,6,2,1.5200432022018488e7
10,6,6,2,0.0
1,7,6,2,202705.94295455597
2,7,6,2,0.0
3,7,6,2,0.0
4,7,6,2,0.0
5,7,6,2,-6.698832259079482e7
6,7,6,2,-170155.7741290691
7,7,6,2,0.0
8,7,6,2,0.0
9,7,6,2,0.0
10,7,6,2,0.0
1,8,6,2,0.0
2,8,6,2,0.0
3,8,6,2,0.0
4,8,6,2,6.71532974241848e7
5,8,6,2,0.0
6,8,6,2,0.0
7,8,6,2,0.0
8,8,6,2,0.0
9,8,6,2,0.0
10,8,6,2,0.0
1,9,6,2,9.923238345803335e7
2,9,6,2,0.0
3,9,6,2,0.0
4,9,6,2,0.0
5,9,6,2,5.2767092690735355e7
6,9,6,2,1.5200432022018488e7
7,9,6,2,0.0
8,9,6,2,0.0
9,9,6,2,0.0
10,9,6,2,0.0
1,10,6,2,0.0
2,10,6,2,0.0
3,10,6,2,0.0
4,10,6,2,-5.269966508529389e7
5,10,6,2,0.0
6,10,6,2,0.0
7,10,6,2,0.0
8,10,6,2,0.0
9,10,6,2,0.0
10,10,6,2,0.0
1,1,7,2,113302.23782463974
2,1,7,2,0.0
3,1,7,2,0.0
4,1,7,2,0.0
5,1,7,2,8.413133436513954e7
6,1,7,2,202705.94295455547
7,1,7,2,0.0
8,1,7,2,0.0
9,1,7,2,0.0
10,1,7,2,0.0
1,2,7,2,0.0
2,2,7,2,7.138465583560376e7
3,2,7,2,0.0
4,2,7,2,0.0
5,2,7,2,0.0
6,2,7,2,0.0
7,2,7,2,1.393954386164452e8
8,2,7,2,0.0
9,2,7,2,-1.0770502759656992e7
10,2,7,2,0.0
1,3,7,2,0.0
2,3,7,2,0.0
3,3,7,2,-7.134321080340989e7
4,3,7,2,0.0
5,3,7,2,0.0
6,3,7,2,0.0
7,3,7,2,0.0
8,3,7,2,95034.33566521472
9,3,7,2,0.0
10,3,7,2,1.0958879115455518e7
1,4,7,2,0.0
2,4,7,2,0.0
3,4,7,2,0.0
4,4,7,2,-7.560876732977888e7
5,4,7,2,0.0
6,4,7,2,0.0
7,4,7,2,0.0
8,4,7,2,0.0
9,4,7,2,0.0
10,4,7,2,0.0
1,5,7,2,8.413133436513954e7
2,5,7,2,0.0
3,5,7,2,0.0
4,5,7,2,0.0
5,5,7,2,7.570018121473472e7
6,5,7,2,-6.69883225907948e7
7,5,7,2,0.0
8,5,7,2,0.0
9,5,7,2,0.0
10,5,7,2,0.0
1,6,7,2,202705.94295455547
2,6,7,2,0.0
3,6,7,2,0.0
4,6,7,2,0.0
5,6,7,2,-6.69883225907948e7
6,6,7,2,-170155.77412906906
7,6,7,2,0.0
8,6,7,2,0.0
9,6,7,2,0.0
10,6,7,2,0.0
1,7,7,2,0.0
2,7,7,2,1.393954386164452e8
3,7,7,2,0.0
4,7,7,2,0.0
5,7,7,2,0.0
6,7,7,2,0.0
7,7,7,2,-247879.2874935702
8,7,7,2,0.0
9,7,7,2,-5.323864279977665e7
10,7,7,2,0.0
1,8,7,2,0.0
2,8,7,2,0.0
3,8,7,2,95034.33566521472
4,8,7,2,0.0
5,8,7,2,0.0
6,8,7,2,0.0
7,8,7,2,0.0
8,8,7,2,102641.84187318024
9,8,7,2,0.0
10,8,7,2,38356.941747645666
1,9,7,2,0.0
2,9,7,2,-1.0770502759656992e7
3,9,7,2,0.0
4,9,7,2,0.0
5,9,7,2,0.0
6,9,7,2,0.0
7,9,7,2,-5.323864279977665e7
8,9,7,2,0.0
9,9,7,2,4.3145200325702205e7
10,9,7,2,0.0
1,10,7,2,0.0
2,10,7,2,0.0
3,10,7,2,1.0958879115455518e7
4,10,7,2,0.0
5,10,7,2,0.0
6,10,7,2,0.0
7,10,7,2,0.0
8,10,7,2,38356.941747645666
9,10,7,2,0.0
10,10,7,2,-4.302112500354262e7
1,1,8,2,0.0
2,1,8,2,0.0
3,1,8,2,0.0
4,1,8,2,-8.404739643068528e7
5,1,8,2,0.0
6,1,8,2,0.0
7,1,8,2,0.0
8,1,8,2,0.0
9,1,8,2,0.0
10,1,8,2,0.0
1,2,8,2,0.0
2,2,8,2,0.0
3,2,8,2,7.134321080340998e7
4,2,8,2,0.0
5,2,8,2,0.0
6,2,8,2,0.0
7,2,8,2,0.0
8,2,8,2,1.395534074742305e8
9,2,8,2,0.0
10,2,8,2,-1.0719343026981646e7
1,3,8,2,0.0
2,3,8,2,7.134321080340998e7
3,3,8,2,0.0
4,3,8,2,0.0
5,3,8,2,0.0
6,3,8,2,0.0
7,3,8,2,95034.33566521571
8,3,8,2,0.0
9,3,8,2,-1.095887911545557e7
10,3,8,2,0.0
1,4,8,2,-8.404739643068528e7
2,4,8,2,0.0
3,4,8,2,0.0
4,4,8,2,0.0
5,4,8,2,-7.581021193769996e7
6,4,8,2,6.71532974241848e7
7,4,8,2,0.0
8,4,8,2,0.0
9,4,8,2,0.0
10,4,8,2,0.0
1,5,8,2,0.0
2,5,8,2,0.0
3,5,8,2,0.0
4,5,8,2,-7.581021193769996e7
5,5,8,2,0.0
6,5,8,2,0.0
7,5,8,2,0.0
8,5,8,2,0.0
9,5,8,2,0.0
10,5,8,2,0.0
1,6,8,2,0.0
2,6,8,2,0.0
3,6,8,2,0.0
4,6,8,2,6.71532974241848e7
5,6,8,2,0.0
6,6,8,2,0.0
7,6,8,2,0.0
8,6,8,2,0.0
9,6,8,2,0.0
10,6,8,2,0.0
1,7,8,2,0.0
2,7,8,2,0.0
3,7,8,2,95034.33566521571
4,7,8,2,0.0
5,7,8,2,0.0
6,7,8,2,0.0
7,7,8,2,0.0
8,7,8,2,102641.84187318252
9,7,8,2,0.0
10,7,8,2,38356.94174764477
1,8,8,2,0.0
2,8,8,2,1.395534074742305e8
3,8,8,2,0.0
4,8,8,2,0.0
5,8,8,2,0.0
6,8,8,2,0.0
7,8,8,2,102641.84187318252
8,8,8,2,0.0
9,8,8,2,-5.366883059060891e7
10,8,8,2,0.0
1,9,8,2,0.0
2,9,8,2,0.0
3,9,8,2,-1.095887911545557e7
4,9,8,2,0.0
5,9,8,2,0.0
6,9,8,2,0.0
7,9,8,2,0.0
8,9,8,2,-5.366883059060891e7
9,9,8,2,0.0
10,9,8,2,4.292403395798804e7
1,10,8,2,0.0
2,10,8,2,-1.0719343026981646e7
3,10,8,2,0.0
4,10,8,2,0.0
5,10,8,2,0.0
6,10,8,2,0.0
7,10,8,2,38356.94174764477
8,10,8,2,0.0
9,10,8,2,4.292403395798804e7
10,10,8,2,0.0
1,1,9,2,9.262753146779354e7
2,1,9,2,0.0
3,1,9,2,0.0
4,1,9,2,0.0
5,1,9,2,1.5394362958812786e7
6,1,9,2,9.92323834580334e7
7,1,9,2,0.0
8,1,9,2,0.0
9,1,9,2,0.0
10,1,9,2,0.0
1,2,9,2,0.0
2,2,9,2,4.025440502409344e7
3,2,9,2,0.0
4,2,9,2,0.0
5,2,9,2,0.0
6,2,9,2,0.0
7,2,9,2,-1.0770502759656992e7
8,2,9,2,0.0
9,2,9,2,1.8037293592320016e8
10,2,9,2,0.0
1,3,9,2,0.0
2,3,9,2,0.0
3,3,9,2,1.3524491551549578e7
4,3,9,2,0.0
5,3,9,2,0.0
6,3,9,2,0.0
7,3,9,2,0.0
8,3,9,2,-1.0958879115455573e7
9,3,9,2,0.0
10,3,9,2,6.013799871672204e7
1,4,9,2,0.0
2,4,9,2,0.0
3,4,9,2,0.0
4,4,9,2,-2.331852177485205e7
5,4,9,2,0.0
6,4,9,2,0.0
7,4,9,2,0.0
8,4,9,2,0.0
9,4,9,2,0.0
10,4,9,2,0.0
1,5,9,2,1.5394362958812786e7
2,5,9,2,0.0
3,5,9,2,0.0
4,5,9,2,0.0
5,5,9,2,-2.3425780785133366e7
6,5,9,2,5.276709269073537e7
7,5,9,2,0.0
8,5,9,2,0.0
9,5,9,2,0.0
10,5,9,2,0.0
1,6,9,2,9.92323834580334e7
2,6,9,2,0.0
3,6,9,2,0.0
4,6,9,2,0.0
5,6,9,2,5.276709269073537e7
6,6,9,2,1.5200432022018488e7
7,6,9,2,0.0
8,6,9,2,0.0
9,6,9,2,0.0
10,6,9,2,0.0
1,7,9,2,0.0
2,7,9,2,-1.0770502759656992e7
3,7,9,2,0.0
4,7,9,2,0.0
5,7,9,2,0.0
6,7,9,2,0.0
7,7,9,2,-5.323864279977665e7
8,7,9,2,0.0
9,7,9,2,4.314520032570222e7
10,7,9,2,0.0
1,8,9,2,0.0
2,8,9,2,0.0
3,8,9,2,-1.0958879115455573e7
4,8,9,2,0.0
5,8,9,2,0.0
6,8,9,2,0.0
7,8,9,2,0.0
8,8,9,2,-5.366883059060891e7
9,8,9,2,0.0
10,8,9,2,4.2924033957988046e7
1,9,9,2,0.0
2,9,9,2,1.8037293592320016e8
3,9,9,2,0.0
4,9,9,2,0.0
5,9,9,2,0.0
6,9,9,2,0.0
7,9,9,2,4.314520032570222e7
8,9,9,2,0.0
9,9,9,2,9.823201401355706e7
10,9,9,2,0.0
1,10,9,2,0.0
2,10,9,2,0.0
3,10,9,2,6.013799871672204e7
4,10,9,2,0.0
5,10,9,2,0.0
6,10,9,2,0.0
7,10,9,2,0.0
8,10,9,2,4.2924033957988046e7
9,10,9,2,0.0
10,10,9,2,3.294038164962381e7
1,1,10,2,0.0
2,1,10,2,0.0
3,1,10,2,0.0
4,1,10,2,-1.5648332987770818e7
5,1,10,2,0.0
6,1,10,2,0.0
7,1,10,2,0.0
8,1,10,2,0.0
9,1,10,2,0.0
10,1,10,2,0.0
1,2,10,2,0.0
2,2,10,2,0.0
3,2,10,2,1.3524491551549554e7
4,2,10,2,0.0
5,2,10,2,0.0
6,2,10,2,0.0
7,2,10,2,0.0
8,2,10,2,-1.0719343026981648e7
9,2,10,2,0.0
10,2,10,2,6.013841226951206e7
1,3,10,2,0.0
2,3,10,2,1.3524491551549554e7
3,3,10,2,0.0
4,3,10,2,0.0
5,3,10,2,0.0
6,3,10,2,0.0
7,3,10,2,1.0958879115455518e7
8,3,10,2,0.0
9,3,10,2,6.013799871672204e7
10,3,10,2,0.0
1,4,10,2,-1.5648332987770818e7
2,4,10,2,0.0
3,4,10,2,0.0
4,4,10,2,0.0
5,4,10,2,-86380.60166212362
6,4,10,2,-5.269966508529389e7
7,4,10,2,0.0
8,4,10,2,0.0
9,4,10,2,0.0
10,4,10,2,0.0
1,5,10,2,0.0
2,5,10,2,0.0
3,5,10,2,0.0
4,5,10,2,-86380.60166212362
5,5,10,2,0.0
6,5,10,2,0.0
7,5,10,2,0.0
8,5,10,2,0.0
9,5,10,2,0.0
10,5,10,2,0.0
1,6,10,2,0.0
2,6,10,2,0.0
3,6,10,2,0.0
4,6,10,2,-5.269966508529389e7
5,6,10,2,0.0
6,6,10,2,0.0
7,6,10,2,0.0
8,6,10,2,0.0
9,6,10,2,0.0
10,6,10,2,0.0
1,7,10,2,0.0
2,7,10,2,0.0
3,7,10,2,1.0958879115455518e7
4,7,10,2,0.0
5,7,10,2,0.0
6,7,10,2,0.0
7,7,10,2,0.0
8,7,10,2,38356.941747645375
9,7,10,2,0.0
10,7,10,2,-4.302112500354262e7
1,8,10,2,0.0
2,8,10,2,-1.0719343026981648e7
3,8,10,2,0.0
4,8,10,2,0.0
5,8,10,2,0.0
6,8,10,2,0.0
7,8,10,2,38356.941747645375
8,8,10,2,0.0
9,8,10,2,4.292403395798805e7
10,8,10,2,0.0
1,9,10,2,0.0
2,9,10,2,0.0
3,9,10,2,6.013799871672204e7
4,9,10,2,0.0
5,9,10,2,0.0
6,9,10,2,0.0
7,9,10,2,0.0
8,9,10,2,4.292403395798805e7
9,9,10,2,0.0
10,9,10,2,3.2940381649623804e7
1,10,10,2,0.0
2,10,10,2,6.013841226951206e7
3,10,10,2,0.0
4,10,10,2,0.0
5,10,10,2,0.0
6,10,10,2,0.0
7,10,10,2,-4.302112500354262e7
8,10,10,2,0.0
9,10,10,2,3.2940381649623804e7
10,10,10,2,0.0
1,1,1,3,0.0
2,1,1,3,0.0
3,1,1,3,1.541718191689741e8
4,1,1,3,0.0
5,1,1,3,0.0
6,1,1,3,0.0
7,1,1,3,0.0
8,1,1,3,-96046.79662614437
9,1,1,3,0.0
10,1,1,3,9.26300396411197e7
1,2,1,3,0.0
2,2,1,3,0.0
3,2,1,3,0.0
4,2,1,3,-9.807873592186116e7
5,2,1,3,0.0
6,2,1,3,0.0
7,2,1,3,0.0
8,2,1,3,0.0
9,2,1,3,0.0
10,2,1,3,0.0
1,3,1,3,1.541718191689741e8
2,3,1,3,0.0
3,3,1,3,0.0
4,3,1,3,0.0
5,3,1,3,-9.805108543107472e7
6,3,1,3,-1.9387567520556543e7
7,3,1,3,0.0
8,3,1,3,0.0
9,3,1,3,0.0
10,3,1,3,0.0
1,4,1,3,0.0
2,4,1,3,-9.807873592186116e7
3,4,1,3,0.0
4,4,1,3,0.0
5,4,1,3,0.0
6,4,1,3,0.0
7,4,1,3,8.402943714551704e7
8,4,1,3,0.0
9,4,1,3,-1.564830181042006e7
10,4,1,3,0.0
1,5,1,3,0.0
2,5,1,3,0.0
3,5,1,3,-9.805108543107472e7
4,5,1,3,0.0
5,5,1,3,0.0
6,5,1,3,0.0
7,5,1,3,0.0
8,5,1,3,8.411343408698961e7
9,5,1,3,0.0
10,5,1,3,-1.5568263018929565e7
1,6,1,3,0.0
2,6,1,3,0.0
3,6,1,3,-1.9387567520556543e7
4,6,1,3,0.0
5,6,1,3,0.0
6,6,1,3,0.0
7,6,1,3,0.0
8,6,1,3,-72978.28546128006
9,6,1,3,0.0
